model,model_label,dep_var,variable,coefficient,std_error,t_stat,p_value,sig,n_obs,n_firms,r2,r2_adj
1,ESG z-score,future_roa,const,0.003928064529657758,0.006421356377226398,0.6117188174742643,0.5407693581433956,,17337,3054,0.6311818531583087,0.6294719869235303
1,ESG z-score,future_roa,esg_z,0.0071748569884050855,0.0009998448081149276,7.175970640816058,8.973378466150916e-13,***,17337,3054,0.6311818531583087,0.6294719869235303
1,ESG z-score,future_roa,roa,0.6873792289743451,0.013520922422271453,50.83819043603894,0.0,***,17337,3054,0.6311818531583087,0.6294719869235303
1,ESG z-score,future_roa,size,0.0018752546726283625,0.0006633707548803763,2.8268576189592824,0.004731321264216733,***,17337,3054,0.6311818531583087,0.6294719869235303
1,ESG z-score,future_roa,lev,0.037564970802602723,0.005053296450547253,7.43375560294599,1.3635097414403177e-13,***,17337,3054,0.6311818531583087,0.6294719869235303
2,High-ESG dummy,future_roa,const,-0.010276285102390117,0.005776585931632248,-1.7789547708652231,0.07534665084985263,*,17337,3054,0.6306732101132584,0.6289609857744233
2,High-ESG dummy,future_roa,esg_high,0.009980428811597645,0.00165397506652921,6.034207536478233,1.7895745733756314e-09,***,17337,3054,0.6306732101132584,0.6289609857744233
2,High-ESG dummy,future_roa,roa,0.6883358988461193,0.013488173743199904,51.03254984338748,0.0,***,17337,3054,0.6306732101132584,0.6289609857744233
2,High-ESG dummy,future_roa,size,0.0031073683660411172,0.00062205507385402,4.995326775150355,6.203985116256734e-07,***,17337,3054,0.6306732101132584,0.6289609857744233
2,High-ESG dummy,future_roa,lev,0.037084667091653534,0.0050545407362799265,7.3369014172684945,2.787790673886924e-13,***,17337,3054,0.6306732101132584,0.6289609857744233
3,Excl. financials,future_roa,const,-0.023342998938066125,0.006837569678750705,-3.4139321476473983,0.0006507125024011782,***,13799,2457,0.6340143165758073,0.6320677260555913
3,Excl. financials,future_roa,esg_score,0.03833043559497669,0.006385438605365863,6.002788212976717,2.2267808610533663e-09,***,13799,2457,0.6340143165758073,0.6320677260555913
3,Excl. financials,future_roa,roa,0.6825403739921609,0.014027109408651872,48.65866188875467,0.0,***,13799,2457,0.6340143165758073,0.6320677260555913
3,Excl. financials,future_roa,size,0.0034966474873716707,0.0008830369091838609,3.9597976607834164,7.714613564069801e-05,***,13799,2457,0.6340143165758073,0.6320677260555913
3,Excl. financials,future_roa,lev,0.038268583054663616,0.005816417690782094,6.5794076507455745,5.752791083831949e-11,***,13799,2457,0.6340143165758073,0.6320677260555913
4,ESG z-score,future_return,const,0.33049406004868503,0.06136220572802672,5.385954695199857,7.704914379399196e-08,***,20693,3339,0.08650515504956091,0.08291517482342037
4,ESG z-score,future_return,esg_z,0.0165585505629345,0.004450896851271962,3.720272816073564,0.0002022840393452379,***,20693,3339,0.08650515504956091,0.08291517482342037
4,ESG z-score,future_return,roa,-0.12699190869621116,0.037090998626312266,-3.4237931950994547,0.000624976631223355,***,20693,3339,0.08650515504956091,0.08291517482342037
4,ESG z-score,future_return,log_me,-0.01879395038917542,0.0029865963798868874,-6.292765408724969,3.5244953934358553e-10,***,20693,3339,0.08650515504956091,0.08291517482342037
4,ESG z-score,future_return,lev,0.03602442355374754,0.021930617406646997,1.6426543259483803,0.10054866273235802,,20693,3339,0.08650515504956091,0.08291517482342037
5,High-ESG dummy,future_return,const,0.30394570109588787,0.05706995915627784,5.325844027040153,1.0713632606891205e-07,***,20693,3339,0.08656138362815446,0.08297162437697225
5,High-ESG dummy,future_return,esg_high,0.033718884678705416,0.008001222901511005,4.214216388389544,2.5728538937931624e-05,***,20693,3339,0.08656138362815446,0.08297162437697225
5,High-ESG dummy,future_return,roa,-0.12603511099071166,0.03703684581320105,-3.402965566408707,0.0006744375372533162,***,20693,3339,0.08656138362815446,0.08297162437697225
5,High-ESG dummy,future_return,log_me,-0.017745921740373892,0.0027413467496353325,-6.473431988395682,1.098244882027594e-10,***,20693,3339,0.08656138362815446,0.08297162437697225
5,High-ESG dummy,future_return,lev,0.03672430532330933,0.021904974977083703,1.6765280655069976,0.09372844345168085,*,20693,3339,0.08656138362815446,0.08297162437697225
6,Excl. financials,future_return,const,0.32691195730153233,0.06280345505529403,5.205318035667135,2.0817162802699917e-07,***,16521,2709,0.08742053477842004,0.08331431561106051
6,Excl. financials,future_return,esg_score,0.10305806065227018,0.0269183964561313,3.828536399641156,0.00013182813905222965,***,16521,2709,0.08742053477842004,0.08331431561106051
6,Excl. financials,future_return,roa,-0.1177137762383071,0.03820055842149374,-3.0814674209598687,0.002080544948679449,***,16521,2709,0.08742053477842004,0.08331431561106051
6,Excl. financials,future_return,log_me,-0.021421898493149474,0.003508404758960649,-6.1058800124007435,1.1688540341355128e-09,***,16521,2709,0.08742053477842004,0.08331431561106051
6,Excl. financials,future_return,lev,0.04358792169715483,0.024057464296803246,1.8118252680082658,0.07012392622904569,*,16521,2709,0.08742053477842004,0.08331431561106051
