,count,mean,std,min,25%,50%,75%,max
esg_score,20695.0,0.40431539618670764,0.19111955242173034,0.038093416836,0.2537794563,0.3736100462,0.5396814242,0.8620916336720003
roa,20693.0,-0.006793744485983799,0.1742564552424518,-1.3025160064529648,-0.0056505837139816,0.0244379276637341,0.0699524252905847,0.3598423723146049
lev,20695.0,0.26432921967920664,0.2240957203414327,0.0,0.07230330307053795,0.2297697156824907,0.3972158677875363,1.1805499522318983
log_size,20695.0,2.0329174709882727,0.250036616671019,1.2083640583215924,1.8855400126463246,2.0547780011927665,2.2030927103454068,2.598434103010837
