model,model_label,dep_var,variable,coefficient,std_error,t_stat,p_value,sig,n_obs,n_firms,r2,r2_adj
1,Univariate,future_roa,const,-0.07941905419725434,0.005881334352048935,-13.503577495060519,2.1040146562135417e-40,***,17337,3054,0.05887014698826698,0.058815856255471366
1,Univariate,future_roa,esg_score,0.2009077167601621,0.010506524971298848,19.122185242883905,4.4521085019369325e-77,***,17337,3054,0.05887014698826698,0.058815856255471366
2,+ Controls,future_roa,const,-0.05093040926919873,0.004332964203919116,-11.754172633859463,3.133845037860244e-31,***,17337,3054,0.6065383584239736,0.6064475525985464
2,+ Controls,future_roa,esg_score,0.015312880304758567,0.003933484790518499,3.892955259842272,0.0001011490881168814,***,17337,3054,0.6065383584239736,0.6064475525985464
2,+ Controls,future_roa,roa,0.742489963251255,0.011974217004408356,62.00739162969106,0.0,***,17337,3054,0.6065383584239736,0.6064475525985464
2,+ Controls,future_roa,size,0.004601963720693398,0.0005308159005584785,8.669604124238951,6.9188322565663185e-18,***,17337,3054,0.6065383584239736,0.6064475525985464
2,+ Controls,future_roa,lev,0.034255455303193495,0.0038050228433096976,9.002693732423772,3.7854658191519234e-19,***,17337,3054,0.6065383584239736,0.6064475525985464
3,+ FE,future_roa,const,-0.012607426176656533,0.005449096543009074,-2.313672748711206,0.020751786735463802,**,17337,3054,0.6312334141183041,0.6295237869236742
3,+ FE,future_roa,esg_score,0.03909942638889563,0.005351852165256114,7.30577474518572,3.5016661164152736e-13,***,17337,3054,0.6312334141183041,0.6295237869236742
3,+ FE,future_roa,roa,0.6872830384891315,0.013520354248129385,50.83321234606119,0.0,***,17337,3054,0.6312334141183041,0.6295237869236742
3,+ FE,future_roa,size,0.0018062344112119682,0.0006642678033078688,2.7191358699268933,0.006582303282281753,***,17337,3054,0.6312334141183041,0.6295237869236742
3,+ FE,future_roa,lev,0.03755558220349678,0.005052249259199167,7.433438113750096,1.3667295914372588e-13,***,17337,3054,0.6312334141183041,0.6295237869236742
4,+ Extended,future_roa,const,-0.013287873870563476,0.007026381579577254,-1.891140371480216,0.058717105298269255,*,13377,2591,0.5674226167767775,0.5647871321554101
4,+ Extended,future_roa,esg_score,0.02408424524003839,0.0053868839939980465,4.47090475066338,8.124225681735289e-06,***,13377,2591,0.5674226167767775,0.5647871321554101
4,+ Extended,future_roa,roa,0.690151003364029,0.016403927532017942,42.07230262490251,2.943067329480646e-295,***,13377,2591,0.5674226167767775,0.5647871321554101
4,+ Extended,future_roa,size,0.0020690732772922597,0.0006432576242218131,3.216554611063243,0.001313383557252701,***,13377,2591,0.5674226167767775,0.5647871321554101
4,+ Extended,future_roa,lev,0.015908350448528032,0.005670182233254402,2.8056153742694496,0.005059566779698665,***,13377,2591,0.5674226167767775,0.5647871321554101
4,+ Extended,future_roa,bm,-15.66697689861323,2.740305669845211,-5.717236975062784,1.2067398572679792e-08,***,13377,2591,0.5674226167767775,0.5647871321554101
4,+ Extended,future_roa,sale_growth,-1.6551540305442576e-05,4.555349031417874e-06,-3.6334296650570437,0.000285114487895585,***,13377,2591,0.5674226167767775,0.5647871321554101
