,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.17049788105902705,0.009766228156675402,-17.457904763620387,2.997349738974537e-68,-0.18963933651091183,-0.15135642560714227
C(year)[T.2015],0.026290655845794264,0.008178516005311349,3.2145997915416933,0.0013062650195486572,0.010261059028399626,0.0423202526631889
C(year)[T.2016],0.019623101225984166,0.007258149709615629,2.703595545843784,0.0068593724419951365,0.005397389200737682,0.03384881325123065
C(year)[T.2017],0.035442836324425075,0.006752427150700594,5.248903177096509,1.530074629503282e-07,0.022208322300821495,0.048677350348028656
C(year)[T.2018],0.043773316063035105,0.0066205788306562575,6.61170528781335,3.799177892476214e-11,0.030797219998140536,0.05674941212792967
C(year)[T.2019],0.06263256619463307,0.006589477284324831,9.504936961179693,2.0016921321725195e-21,0.049717428040411606,0.07554770434885455
C(year)[T.2020],0.08071636009369193,0.006649623590200906,12.138485584753713,6.603694164246604e-34,0.06768333734615023,0.09374938284123363
C(year)[T.2021],0.09262303175694017,0.00657184684486296,14.093912098596936,4.1397828654880135e-45,0.07974244862909557,0.10550361488478477
C(year)[T.2022],0.09793109469712591,0.006541382343015525,14.97100911731456,1.1358459760080344e-50,0.08511022089570924,0.11075196849854257
C(year)[T.2023],0.09390274528249819,0.006617498104806742,14.190067574676025,1.0555696922078758e-45,0.08093268732931491,0.10687280323568146
C(ff12)[T.Consumer Non-Durables],0.014140018999940737,0.007697527078788718,1.8369560581222157,0.06621638259552005,-0.0009468568445069603,0.029226894844388434
C(ff12)[T.Energy],-0.09091529177265162,0.008082040992604261,-11.249051057257278,2.3409703390756413e-29,-0.10675580103973231,-0.07507478250557093
C(ff12)[T.Finance],-0.13692649367318882,0.0062399828911194445,-21.943408509670512,1.0011076952674622e-106,-0.14915663540392904,-0.12469635194244859
C(ff12)[T.Healthcare],0.01277720957340991,0.006656590325020287,1.9194826404418945,0.05492328117365906,-0.00026946772346762675,0.025823886870287444
C(ff12)[T.Manufacturing],0.01971360014806231,0.006444292586143634,3.0590790043347855,0.0022201859182285288,0.007083018773382303,0.03234418152274232
C(ff12)[T.Other],-0.030601599019505432,0.006278908022216133,-4.873713536052824,1.0951976724729677e-06,-0.04290803260528868,-0.01829516543372219
C(ff12)[T.Retail & Services],-0.016669270378565602,0.00674512450521612,-2.4713065512245134,0.013462036390769497,-0.029889471480027748,-0.0034490692771034556
C(ff12)[T.Technology],0.024196232233732646,0.006331501709944664,3.821562931228225,0.00013260856346905902,0.011786716914187338,0.03660574755327795
C(ff12)[T.Telecom],-0.15374574782106093,0.010137329418879192,-15.166296908013416,5.9119494354747495e-52,-0.1736145483814825,-0.13387694726063937
C(ff12)[T.Utilities],-0.02909382586118709,0.0075929645534971646,-3.83168203357239,0.00012727015653845472,-0.04397576292193078,-0.014211888800443396
lag_size,0.07136615450470159,0.000666240725260088,107.11767053393736,0.0,0.07006034667815797,0.0726719623312452
lag_roa,0.0629730467445737,0.007848371727145493,8.023708475321852,1.0259962921357372e-15,0.04759052082208611,0.07835557266706128
lag_lev,-0.006049499703272736,0.005570431526242912,-1.086001986519874,0.27747811336475403,-0.016967344873055328,0.0048683454665098555
